##### Convolution | rows=205 cols=9 #####
Table de convolution formelle |  |  |  |  |  |  |  | 
Chaque terme vaut c₁·k^e₁ + c₂·k^e₂. Cette représentation encode les additions et soustractions sans figer k. |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  | 
TERMES DES SUITES |  |  |  |  |  |  |  | 
Rapport | Suite | Ordre | Coeff 1 | Exposant 1 | Coeff 2 | Exposant 2 | Valeur | Expression formelle
1/7 | B | 9 | 1 | 9 | 0 | 0 | 40353607 | k^9
1/7 | B | 10 | 1 | 10 | -1 | 8 | 276710448 | k^10 - k^8
1/7 | B | 11 | 1 | 11 | -1 | 9 | 1936973136 | k^11 - k^9
1/8 | A | 1 | 1 | 1 | 0 | 0 | 8 | k^1
1/8 | A | 2 | 1 | 2 | 0 | 0 | 64 | k^2
1/8 | A | 3 | 1 | 3 | 0 | 0 | 512 | k^3
1/8 | A | 4 | 1 | 4 | 0 | 0 | 4096 | k^4
1/8 | A | 5 | 1 | 5 | 0 | 0 | 32768 | k^5
1/8 | A | 6 | 1 | 6 | 0 | 0 | 262144 | k^6
1/8 | A | 7 | 1 | 7 | 0 | 0 | 2097152 | k^7
1/8 | A | 8 | 1 | 8 | 0 | 0 | 16777216 | k^8
1/8 | A | 9 | 1 | 9 | -1 | 7 | 132120576 | k^9 - k^7
1/8 | A | 10 | 1 | 10 | -1 | 8 | 1056964608 | k^10 - k^8
1/8 | B | 1 | 1 | 1 | 0 | 0 | 8 | k^1
1/8 | B | 2 | 1 | 2 | 0 | 0 | 64 | k^2
1/8 | B | 3 | 1 | 3 | 0 | 0 | 512 | k^3
1/8 | B | 4 | 1 | 4 | 0 | 0 | 4096 | k^4
1/8 | B | 5 | 1 | 5 | 0 | 0 | 32768 | k^5
1/8 | B | 7 | 1 | 7 | 0 | 0 | 2097152 | k^7
1/8 | B | 8 | 1 | 8 | 0 | 0 | 16777216 | k^8
1/8 | B | 9 | 1 | 9 | 0 | 0 | 134217728 | k^9
1/8 | B | 10 | 1 | 10 | -1 | 8 | 1056964608 | k^10 - k^8
1/8 | B | 11 | 1 | 11 | -1 | 9 | 8455716864 | k^11 - k^9
1/9 | A | 1 | 1 | 1 | 0 | 0 | 9 | k^1
1/9 | A | 2 | 1 | 2 | 0 | 0 | 81 | k^2
1/9 | A | 3 | 1 | 3 | 0 | 0 | 729 | k^3
1/9 | A | 4 | 1 | 4 | 0 | 0 | 6561 | k^4
1/9 | A | 5 | 1 | 5 | 0 | 0 | 59049 | k^5
1/9 | A | 6 | 1 | 6 | 0 | 0 | 531441 | k^6
1/9 | A | 7 | 1 | 7 | 0 | 0 | 4782969 | k^7
1/9 | A | 8 | 1 | 8 | 0 | 0 | 43046721 | k^8
1/9 | A | 9 | 1 | 9 | -1 | 7 | 382637520 | k^9 - k^7
1/9 | A | 10 | 1 | 10 | -1 | 8 | 3443737680 | k^10 - k^8
1/9 | B | 1 | 1 | 1 | 0 | 0 | 9 | k^1
1/9 | B | 2 | 1 | 2 | 0 | 0 | 81 | k^2
1/9 | B | 3 | 1 | 3 | 0 | 0 | 729 | k^3
1/9 | B | 4 | 1 | 4 | 0 | 0 | 6561 | k^4
1/9 | B | 5 | 1 | 5 | 0 | 0 | 59049 | k^5
1/9 | B | 7 | 1 | 7 | 0 | 0 | 4782969 | k^7
1/9 | B | 8 | 1 | 8 | 0 | 0 | 43046721 | k^8
1/9 | B | 9 | 1 | 9 | 0 | 0 | 387420489 | k^9
